red,blue,green,scaled_red,scaled_blue,scaled_green
10,15,9,0.13433847375228358,0.17973444449501697,0.1262688761153356
14,49,36,0.18807386325319703,0.5871325186837221,0.5050755044613424
55,125,103,0.7388616056375598,1.4977870374584747,1.4450771377643965
35,129,98,0.4701846581329926,1.545716222657146,1.3749277621447655
38,134,101,0.5104862002586776,1.605627704155485,1.4170173875165442
46,132,101,0.6179569792605045,1.5816631115561492,1.4170173875165442
49,132,105,0.6582585213861896,1.5816631115561492,1.4731368880122488
39,126,101,0.523920047633906,1.5097693337581426,1.4170173875165442
33,128,98,0.44331696338253584,1.533733926357478,1.3749277621447655
38,139,100,0.5104862002586776,1.665539185653824,1.4029875123926179
54,150,109,0.7254277582623314,1.7973444449501697,1.5292563885079535
49,140,101,0.6582585213861896,1.6775214819534916,1.4170173875165442
45,132,98,0.6045231318852762,1.5816631115561492,1.3749277621447655
51,136,106,0.6851262161366464,1.6295922967548204,1.487166763136175
49,133,102,0.6582585213861896,1.593645407855817,1.4310472626404702
52,134,103,0.6985600635118747,1.605627704155485,1.4450771377643965
33,129,115,0.44331696338253584,1.545716222657146,1.6134356392515106
32,118,99,0.4298831160073075,1.4139109633608,1.3889576372686916
47,122,97,0.6313908266357329,1.4618401485594714,1.3608978870208392
47,122,97,0.6313908266357329,1.4618401485594714,1.3608978870208392
36,123,101,0.48361850550822094,1.473822444859139,1.4170173875165442
33,128,110,0.44331696338253584,1.533733926357478,1.5432862636318796
28,122,103,0.37614772650639405,1.4618401485594714,1.4450771377643965
38,123,100,0.5104862002586776,1.473822444859139,1.4029875123926179
54,134,105,0.7254277582623314,1.605627704155485,1.4731368880122488
46,126,97,0.6179569792605045,1.5097693337581426,1.3608978870208392
34,120,94,0.4567508107577642,1.4378755559601357,1.3188082616490608
39,130,107,0.523920047633906,1.5576985189568138,1.5011966382601012
39,130,107,0.523920047633906,1.5576985189568138,1.5011966382601012
38,129,102,0.5104862002586776,1.545716222657146,1.4310472626404702
46,134,106,0.6179569792605045,1.605627704155485,1.487166763136175
54,139,109,0.7254277582623314,1.665539185653824,1.5292563885079535
44,125,107,0.5910892845100478,1.4977870374584747,1.5011966382601012
47,134,104,0.6313908266357329,1.605627704155485,1.4591070128883226
51,143,100,0.6851262161366464,1.7134683708524951,1.4029875123926179
54,147,98,0.7254277582623314,1.7613975560511663,1.3749277621447655
52,143,99,0.6985600635118747,1.7134683708524951,1.3889576372686916
51,136,101,0.6851262161366464,1.6295922967548204,1.4170173875165442
48,134,103,0.6448246740109612,1.605627704155485,1.4450771377643965
48,136,102,0.6448246740109612,1.6295922967548204,1.4310472626404702
36,131,89,0.48361850550822094,1.5696808152564814,1.2486588860294299
49,148,101,0.6582585213861896,1.773379852350834,1.4170173875165442
53,144,105,0.7119939108871031,1.7254506671521628,1.4731368880122488
38,106,83,0.5104862002586776,1.2701234077647865,1.1644796352858728
0,18,11,0.0,0.21568133339402035,0.15432862636318798
25,17,22,0.33584618438070896,0.20369903709435255,0.30865725272637595
50,7,16,0.6716923687614179,0.08387607409767459,0.22447800198281886
83,19,26,1.1150093321439538,0.22766362969368817,0.36477675322208064
95,15,25,1.2762155006466942,0.17973444449501697,0.35074687809815447
95,20,24,1.2762155006466942,0.23964592599335596,0.3367170029742283
98,24,22,1.3165170427723791,0.28757511119202717,0.30865725272637595
105,20,19,1.4105539743989777,0.23964592599335596,0.2665676273545974
111,13,18,1.491157058650348,0.15576985189568138,0.2525377522306712
108,8,20,1.4508555165246628,0.09585837039734238,0.28059750247852355
100,11,24,1.3433847375228358,0.13180525929634576,0.3367170029742283
90,17,28,1.2090462637705524,0.20369903709435255,0.392836503469933
84,11,22,1.1284431795191823,0.13180525929634576,0.30865725272637595
98,12,26,1.3165170427723791,0.14378755559601358,0.36477675322208064
107,10,20,1.4374216691494344,0.11982296299667798,0.28059750247852355
100,5,11,1.3433847375228358,0.05991148149833899,0.15432862636318798
97,15,16,1.303083195397151,0.17973444449501697,0.22447800198281886
99,29,29,1.3299508901476076,0.34748659269036614,0.40686637859385916
92,26,31,1.235913958521009,0.31153970379136275,0.43492612884171156
79,10,23,1.0612739426430404,0.11982296299667798,0.3226871278503021
88,22,24,1.1821785690200957,0.2636105185926915,0.3367170029742283
85,20,26,1.1418770268944105,0.23964592599335596,0.36477675322208064
84,16,27,1.1284431795191823,0.19171674079468476,0.3788066283460068
82,16,28,1.1015754847687254,0.19171674079468476,0.392836503469933
85,18,26,1.1418770268944105,0.21568133339402035,0.36477675322208064
89,22,24,1.195612416395324,0.2636105185926915,0.3367170029742283
95,24,20,1.2762155006466942,0.28757511119202717,0.28059750247852355
100,24,18,1.3433847375228358,0.28757511119202717,0.2525377522306712
105,23,20,1.4105539743989777,0.2755928148923594,0.28059750247852355
97,10,14,1.303083195397151,0.11982296299667798,0.1964182517349665
93,2,15,1.2493478058962375,0.023964592599335595,0.2104481268588927
104,15,33,1.3971201270237494,0.17973444449501697,0.4629858790895639
96,12,27,1.2896493480219224,0.14378755559601358,0.3788066283460068
95,18,24,1.2762155006466942,0.21568133339402035,0.3367170029742283
92,22,17,1.235913958521009,0.2636105185926915,0.23850787710674504
93,28,15,1.2493478058962375,0.33550429639069834,0.2104481268588927
92,19,28,1.235913958521009,0.22766362969368817,0.392836503469933
98,15,24,1.3165170427723791,0.17973444449501697,0.3367170029742283
100,16,21,1.3433847375228358,0.19171674079468476,0.2946273776024498
95,20,21,1.2762155006466942,0.23964592599335596,0.2946273776024498
98,22,19,1.3165170427723791,0.2636105185926915,0.2665676273545974
111,16,15,1.491157058650348,0.19171674079468476,0.2104481268588927
119,11,14,1.5986278376521748,0.13180525929634576,0.1964182517349665
101,23,23,1.3568185848980643,0.2755928148923594,0.3226871278503021
53,28,22,0.7119939108871031,0.33550429639069834,0.30865725272637595
27,29,22,0.3627138791311657,0.34748659269036614,0.30865725272637595
1,10,0,0.01343384737522836,0.11982296299667798,0.0
44,85,70,0.5910892845100478,1.0184951854717628,0.9820912586748325
133,219,193,1.7867017009053718,2.6241228896272477,2.7077658989177524
122,237,202,1.63892937977786,2.839804223021268,2.8340347750330883
113,234,197,1.5180247534008047,2.803857334122265,2.763885399413457
115,229,193,1.5448924481512614,2.7439458526239258,2.7077658989177524
117,225,193,1.571760142901718,2.6960166674252544,2.7077658989177524
115,229,200,1.5448924481512614,2.7439458526239258,2.8059750247852357
107,231,200,1.4374216691494344,2.7679104452232615,2.8059750247852357
103,230,193,1.383686279648521,2.7559281489235934,2.7077658989177524
114,239,197,1.531458600776033,2.863768815620604,2.763885399413457
114,231,192,1.531458600776033,2.7679104452232615,2.6937360237938264
107,221,185,1.4374216691494344,2.6480874822265834,2.595526897926343
110,225,193,1.4777232112751195,2.6960166674252544,2.7077658989177524
112,228,197,1.5045909060255762,2.7319635563242577,2.763885399413457
114,233,200,1.531458600776033,2.7918750378225967,2.8059750247852357
107,225,198,1.4374216691494344,2.6960166674252544,2.777915274537383
